Entity,Code,Year,Contribution
Athens,,1,8.1
Athens,,2,6.3
Athens,,3,6.4
Athens,,4,6.3
Athens,,5,6.7
Athens,,6,6.3
Athens,,7,5.9
Athens,,8,6.3
Athens,,9,5.9
Athens,,10,5.4
Bonn,,1,10.9
Bonn,,2,10.8
Bonn,,3,11.5
Bonn,,4,10.7
Bonn,,5,10.7
Bonn,,6,9.4
Bonn,,7,7.7
Bonn,,8,8.6
Bonn,,9,7.4
Bonn,,10,4
Boston,,1,13
Boston,,2,12.7
Boston,,3,12.7
Boston,,4,11.4
Boston,,5,11
Boston,,6,10.1
Boston,,7,9.1
Boston,,8,6.2
Boston,,9,4.2
Boston,,10,2.9
Chengdu,,1,10
Chengdu,,2,10
Chengdu,,3,10.2
Chengdu,,4,10
Chengdu,,5,9.1
Chengdu,,6,7.7
Chengdu,,7,6.6
Chengdu,,8,6
Chengdu,,9,4.5
Chengdu,,10,2.4
Copenhagen,,1,14.1
Copenhagen,,2,14.1
Copenhagen,,3,13.7
Copenhagen,,4,12.9
Copenhagen,,5,12.3
Copenhagen,,6,11.7
Copenhagen,,7,10.8
Copenhagen,,8,10.6
Copenhagen,,9,9.8
Copenhagen,,10,5.3
Dnipropetrovs'k,,1,11
Dnipropetrovs'k,,2,12.6
Dnipropetrovs'k,,3,12.1
Dnipropetrovs'k,,4,11.2
Dnipropetrovs'k,,5,11.3
Dnipropetrovs'k,,6,10.5
Dnipropetrovs'k,,7,9.5
Dnipropetrovs'k,,8,10.3
Dnipropetrovs'k,,9,9
Dnipropetrovs'k,,10,8.7
Istanbul,,1,8.9
Istanbul,,2,9
Istanbul,,3,8.4
Istanbul,,4,6.9
Istanbul,,5,5.8
Istanbul,,6,4.5
Istanbul,,7,3.9
Istanbul,,8,3.2
Istanbul,,9,2.2
Istanbul,,10,1.4
Melbourne,,1,8.2
Melbourne,,2,7.3
Melbourne,,3,6.3
Melbourne,,4,6
Melbourne,,5,5.4
Melbourne,,6,5.1
Melbourne,,7,4.3
Melbourne,,8,3.2
Melbourne,,9,2.3
Melbourne,,10,1.3
Minsk,,1,12.8
Minsk,,2,12.3
Minsk,,3,12.6
Minsk,,4,12.3
Minsk,,5,11.8
Minsk,,6,9.9
Minsk,,7,9.9
Minsk,,8,8.4
Minsk,,9,8.3
Minsk,,10,6.9
Muscat,,1,9.5
Muscat,,2,11
Muscat,,3,11.5
Muscat,,4,10.3
Muscat,,5,9.8
Muscat,,6,10.3
Muscat,,7,10.2
Muscat,,8,10.1
Muscat,,9,9.6
Muscat,,10,7.5
Nottingham,,1,10.9
Nottingham,,2,10.5
Nottingham,,3,9.1
Nottingham,,4,9
Nottingham,,5,8.1
Nottingham,,6,5.4
Nottingham,,7,5.3
Nottingham,,8,4.7
Nottingham,,9,4.1
Nottingham,,10,2.4
Riyadh,,1,8
Riyadh,,2,7.7
Riyadh,,3,7.2
Riyadh,,4,7.9
Riyadh,,5,7.9
Riyadh,,6,7.8
Riyadh,,7,8.1
Riyadh,,8,8.3
Riyadh,,9,7.5
Riyadh,,10,5.9
Samara,,1,10.8
Samara,,2,11.5
Samara,,3,11.7
Samara,,4,11.3
Samara,,5,10.3
Samara,,6,10.2
Samara,,7,8.7
Samara,,8,8.2
Samara,,9,8.2
Samara,,10,5.6
Seoul,,1,8.2
Seoul,,2,9.1
Seoul,,3,9.9
Seoul,,4,9.7
Seoul,,5,9
Seoul,,6,8.6
Seoul,,7,7.9
Seoul,,8,7.1
Seoul,,9,5.9
Seoul,,10,3.8
St. Gallen,,1,13.7
St. Gallen,,2,12.8
St. Gallen,,3,12.4
St. Gallen,,4,10.6
St. Gallen,,5,11
St. Gallen,,6,10.7
St. Gallen,,7,10.1
St. Gallen,,8,9.5
St. Gallen,,9,7.4
St. Gallen,,10,3
Zurich,,1,11.1
Zurich,,2,12.2
Zurich,,3,10.8
Zurich,,4,10.6
Zurich,,5,8.5
Zurich,,6,7.1
Zurich,,7,7.4
Zurich,,8,7.3
Zurich,,9,6.2
Zurich,,10,3.7
