Entity,Code,Year,Contribution
Athens,,1,5.818181992
Athens,,2,5.636363506
Athens,,3,5.863636494
Athens,,4,6.25
Athens,,5,6.227272511
Athens,,6,5.863636494
Athens,,7,5.636363506
Athens,,8,4.840909004
Athens,,9,4.681818008
Athens,,10,6.204545498
Bonn,,1,12.05000019
Bonn,,2,13.46666622
Bonn,,3,14.08333302
Bonn,,4,14.03333378
Bonn,,5,15.41666698
Bonn,,6,14.41666698
Bonn,,7,15.21666622
Bonn,,8,15.5
Bonn,,9,16
Bonn,,10,14.6833334
Boston,,1,16.0178566
Boston,,2,17.8214283
Boston,,3,18.5535717
Boston,,4,18.875
Boston,,5,18.2321434
Boston,,6,18.5535717
Boston,,7,18.6785717
Boston,,8,18.0535717
Boston,,9,18.1785717
Boston,,10,16.8392849
Chengdu,,1,9.895833015
Chengdu,,2,11.0625
Chengdu,,3,12.3125
Chengdu,,4,13.375
Chengdu,,5,14.35416698
Chengdu,,6,15.42708302
Chengdu,,7,15.6875
Chengdu,,8,15.97916698
Chengdu,,9,15.85416698
Chengdu,,10,14.8125
Copenhagen,,1,15.4117651
Copenhagen,,2,16.97058868
Copenhagen,,3,17.73529434
Copenhagen,,4,18.16176414
Copenhagen,,5,18.36764717
Copenhagen,,6,18.69117737
Copenhagen,,7,18.73529434
Copenhagen,,8,18.3235302
Copenhagen,,9,18.0735302
Copenhagen,,10,17.01470566
Dnipropetrovs'k,,1,9.477272987
Dnipropetrovs'k,,2,9.909090996
Dnipropetrovs'k,,3,11.840909
Dnipropetrovs'k,,4,11.45454502
Dnipropetrovs'k,,5,12.68181801
Dnipropetrovs'k,,6,11.75
Dnipropetrovs'k,,7,11.22727299
Dnipropetrovs'k,,8,10.68181801
Dnipropetrovs'k,,9,9.704545021
Dnipropetrovs'k,,10,10.06818199
Istanbul,,1,6.546875
Istanbul,,2,6.578125
Istanbul,,3,6.71875
Istanbul,,4,6.453125
Istanbul,,5,6.96875
Istanbul,,6,7.15625
Istanbul,,7,7.53125
Istanbul,,8,7.84375
Istanbul,,9,7.84375
Istanbul,,10,7.625
Melbourne,,1,7.849999905
Melbourne,,2,10.47500038
Melbourne,,3,12.80000019
Melbourne,,4,13.57499981
Melbourne,,5,15.05000019
Melbourne,,6,15.77499962
Melbourne,,7,16.22500038
Melbourne,,8,16.52499962
Melbourne,,9,17.10000038
Melbourne,,10,15.85000038
Minsk,,1,11.75
Minsk,,2,13.23529434
Minsk,,3,12.89705849
Minsk,,4,13.38235283
Minsk,,5,13.97058868
Minsk,,6,13.01470566
Minsk,,7,13.17647076
Minsk,,8,13.69117641
Minsk,,9,12.4117651
Minsk,,10,11.70588207
Muscat,,1,9.211538315
Muscat,,2,10.30769253
Muscat,,3,10.05769253
Muscat,,4,10
Muscat,,5,9.57692337
Muscat,,6,9.903845787
Muscat,,7,10.26923084
Muscat,,8,10.84615421
Muscat,,9,9.711538315
Muscat,,10,9.096154213
Nottingham,,1,11.3214283
Nottingham,,2,13.89285755
Nottingham,,3,14.6964283
Nottingham,,4,14.41071415
Nottingham,,5,15.26785755
Nottingham,,6,16.4464283
Nottingham,,7,16.375
Nottingham,,8,16.7321434
Nottingham,,9,16.3035717
Nottingham,,10,14.6964283
Riyadh,,1,6.145833492
Riyadh,,2,6.770833492
Riyadh,,3,6.708333492
Riyadh,,4,7.9375
Riyadh,,5,7.604166508
Riyadh,,6,7.604166508
Riyadh,,7,6.25
Riyadh,,8,6.375
Riyadh,,9,7.125
Riyadh,,10,6.625
Samara,,1,10.76315784
Samara,,2,11.30263138
Samara,,3,11.7434206
Samara,,4,11.76315784
Samara,,5,11.19078922
Samara,,6,12.18421078
Samara,,7,12.15131569
Samara,,8,12.18421078
Samara,,9,12.38815784
Samara,,10,11.57236862
Seoul,,1,9.690476418
Seoul,,2,12.10714245
Seoul,,3,13.27380943
Seoul,,4,14.10714245
Seoul,,5,14.39285755
Seoul,,6,15.28571415
Seoul,,7,16.04761887
Seoul,,8,16.80952454
Seoul,,9,17.2857151
Seoul,,10,17.51190567
St. Gallen,,1,15.04166698
St. Gallen,,2,16.71875
St. Gallen,,3,17.57291603
St. Gallen,,4,17.42708397
St. Gallen,,5,17.64583397
St. Gallen,,6,17.34375
St. Gallen,,7,16.79166603
St. Gallen,,8,16.75
St. Gallen,,9,16.88541603
St. Gallen,,10,15.15625
Zurich,,1,13.22826099
Zurich,,2,15.02173901
Zurich,,3,15.77173901
Zurich,,4,16.26086998
Zurich,,5,16.35869598
Zurich,,6,16.61956596
Zurich,,7,17.19565201
Zurich,,8,17.03260803
Zurich,,9,17.56521797
Zurich,,10,16.45652199
